"","IDs","nTrial","Conds","Sat","Tdata.perc","Tdata.duration"
"1","AJ",1,"G_V",0.9,0,48
"2","AJ",1,"G_V",0.9,2,696112
"3","AJ",1,"G_V",0.9,0,280000
"4","AJ",1,"G_V",0.9,3,3600240
"5","AJ",1,"G_V",0.9,0,55952
"6","AJ",1,"G_V",0.9,4,3688288
"7","AJ",1,"G_V",0.9,0,207984
"8","AJ",1,"G_V",0.9,3,7104544
"9","AJ",1,"G_V",0.9,0,239984
"10","AJ",1,"G_V",0.9,1,2392160
"11","AJ",1,"G_V",0.9,0,199968
"12","AJ",1,"G_V",0.9,4,1432096
"13","AJ",1,"G_V",0.9,0,223984
"14","AJ",1,"G_V",0.9,3,8120608
"15","AJ",1,"G_V",0.9,0,247968
"16","AJ",1,"G_V",0.9,2,1784128
"17","AJ",1,"G_V",0.9,0,159984
"18","AJ",1,"G_V",0.9,4,3888288
"19","AJ",1,"G_V",0.9,0,215984
"20","AJ",1,"G_V",0.9,1,2832208
"21","AJ",1,"G_V",0.9,0,224000
"22","AJ",1,"G_V",0.9,3,7584576
"23","AJ",1,"G_V",0.9,0,239968
"24","AJ",1,"G_V",0.9,2,2568160
"25","AJ",1,"G_V",0.9,0,255984
"26","AJ",1,"G_V",0.9,3,1856112
"27","AJ",1,"G_V",0.9,0,191984
"28","AJ",1,"G_V",0.9,1,1312064
"29","AJ",1,"G_V",0.9,0,79968
"30","AJ",1,"G_V",0.9,4,3048224
"31","AJ",1,"G_V",0.9,0,255984
"32","AJ",1,"G_V",0.9,1,2064144
"33","AJ",1,"G_V",0.9,0,167984
"34","AJ",1,"G_V",0.9,3,6680512
"35","AJ",1,"G_V",0.9,0,464000
"36","AJ",1,"G_V",0.9,1,1144048
"37","AJ",1,"G_V",0.9,0,111968
"38","AJ",1,"G_V",0.9,4,2712192
"39","AJ",1,"G_V",0.9,0,159968
"40","AJ",1,"G_V",0.9,3,5080384
"41","AJ",1,"G_V",0.9,0,207968
"42","AJ",1,"G_V",0.9,1,2512176
"43","AJ",1,"G_V",0.9,0,143984
"44","AJ",1,"G_V",0.9,3,1488064
"45","AJ",1,"G_V",0.9,0,167968
"46","AJ",1,"G_V",0.9,2,3168224
"47","AJ",1,"G_V",0.9,0,472032
"48","AJ",1,"G_V",0.9,1,1312032
"49","AJ",1,"G_V",0.9,0,183968
"50","AJ",1,"G_V",0.9,3,3008224
"51","AJ",1,"G_V",0.9,0,223984
"52","AJ",1,"G_V",0.9,2,1440064
"53","AJ",1,"G_V",0.9,0,199968
"54","AJ",1,"G_V",0.9,4,3736272
"55","AJ",1,"G_V",0.9,0,231968
"56","AJ",1,"G_V",0.9,3,5000384
"57","AJ",1,"G_V",0.9,0,295984
"58","AJ",1,"G_V",0.9,1,1544096
"59","AJ",1,"G_V",0.9,0,63984
"60","AJ",1,"G_V",0.9,4,2192144
"61","AJ",1,"G_V",0.9,0,2e+05
"62","AJ",1,"G_V",0.9,3,6232480
"63","AJ",1,"G_V",0.9,0,231984
"64","AJ",1,"G_V",0.9,2,2248144
"65","AJ",1,"G_V",0.9,0,127968
"66","AJ",1,"G_V",0.9,4,1920128
"67","AJ",1,"G_V",0.9,0,151952
"68","AJ",1,"G_V",0.9,1,2856240
"69","AJ",1,"G_V",0.9,0,263968
